srcFile	srcPage	orientationApplied	formType	folio	permitDate	permitNo	dateCkd	REMARKS_changes	changeKeywords	permitStatus	fullTranscription
part01	1	0	photo	(none on face)	-	-	-	Front elevation, 2-story frame apartment building, street sign at right, parked car; edge date stamp NOV 67	building photo / apartment	NA	B&W photo of two-story wood-frame apartment building (Cabana Club Gardens), front/side view from street. Balcony and exterior stairs visible. Film edge date stamp: NOV . 67 (November 1967).
part01	2	180	photo	30.6007090003	-	-	11-20-67	Back of photo p1; handwritten folio and date plus initials	folio note	NA	Reverse of photo. Handwritten (upright after 180 rotation): folio 30.6007090003 ; illegible cursive initials ; date 11-20-67.
part01	3	0	photo	(none on face)	-	-	-	Rear/side elevation of same 2-story building, exterior walkway/breezeway and utility drop; edge date stamp NOV 67	building photo / apartment / open walkway	NA	B&W photo, oblique rear/side view of same apartment building showing open exterior walkway (breezeway) and end wall. Film edge date stamp NOV . 67.
part01	4	180	photo	30.6007090003	-	-	11-20-67	Back of photo p3; same handwritten folio and date	folio note	NA	Reverse of photo. Handwritten folio 30.6007090003 ; illegible initials ; date 11-20-67.
part01	5	0	photo	(none on face)	-	-	-	Side elevation of same building with landscaping/trees, open second-floor gallery; edge date stamp NOV 67	building photo / apartment / gallery	NA	B&W photo, side view of the apartment building with trees, open second-floor gallery/walkway. Film edge date stamp NOV . 67.
part01	6	180	photo	30.6007090003	-	-	11-20-67	Back of photo p5; same handwritten folio and date	folio note	NA	Reverse of photo. Handwritten folio 30.6007090003 ; illegible initials ; date 11-20-67.
part02	1	0	PA-card	30-6007-09-003 (written 30-C007 09 003)	1966 (DATE PERMIT)	(blank)	11-20-67	Master 1960s Property Appraiser card. Field-visit remark rows note "add CB Wall" (yr 70 line, TAB 14056) and "L?nie - 4/23/70" (yr 71 line, TAB-455?); no PERMIT NO. entered.	CB wall / concrete block wall / possible lanai(?)	EXPOSURE	Header: DATE PERMIT 1966 | AMT PERMIT (blank) | PERMIT NO. (blank) | DATE CK'D 11-20-67 | DEPUTY TG. FOLIO 30-C007 09 003 (=30-6007-09-003) w/ "41". LEGAL DESC'PT: Cabana Club Gdns apts, lot 3 Blk 1. PB 78-85. ADDRESS OF PROP: [struck-through 2010?] SW 202 DRIVE, 109?0 (3/8 ambiguous, later records = 10980). MAIL ADDRESS: per B&Z. BUILDINGS points col: TYPE BLDG apt (2); MATERIAL CBS(?) 31; STORIES 2; FOUND conc; FLOORS terr; BED ROOMS 20; BATHS 16; ROOF H-? ; PLUMBING; ELECTRIC. Value grid (OPERATORS/FOLIO/PLATES/YR/LAND/IMPR/TOTAL/REMARKS): 68 IMPR 89,950 REM N-B; 69 IMPR 86,240 REM Def 25; 70 LAND OK IMPR 89950 REM R 10yr; 70 IMPR 90280 REM 100%; TAB 14056 yr70 IMPR n/k REM "add CB Wall"; TAB-455? yr71 IMPR 112,850 REM "L?nie - 4/23/70"; TAB-2730 yr73 IMPR n/k. D-12.
part02	2	0	other	(none)	-	-	-	Field dimension sketch of building footprint	field sketch / 2 story / open porch	NA	FIELD R'MARKS field-measurement sketch (form 509.01-14). Dimensioned rectangle 138 x 40; notation "2 STORY", circled "1.8", dated 1966; edge notes O/P 1st & 2nd 1/2 x 4.8, 1/3 x 1.8, corner dims 6,40,17,6. DIM O.K. No permit number.
part03	1	270	permit-slip	30-6007-009-0030 (also 30-6007-09-0030)	ISSUE 02/89 ACT 89/03/06	89037613	-	Computer-label PERMIT ADDITIONS card. Printed permit record: ADD-ALT TO CONDO APT / ALTER EXTERIOR under PERMIT NO. 89037613. Handwritten note col also records "CODE-90 ALT. Roof 12/7/89".	alteration / add-alt condo apt / alter exterior / roof alteration	SAFE	METROPOLITAN DADE COUNTY TAX ASSESSMENT DEPARTMENT - PERMIT ADDITIONS. Label 1: FOLIO 30-6007-009-0030 DIST 06; ADDRESS 10980 SW 202 DR; PERMIT NO. 89037613; BLDG C 44 CLUC 0003; ADD-ALT TO CONDO APT; VALUE $0 ALTER EXTERIOR; TYPE 000; LEGAL ISSUE 02/89 ACT 89/03/06; 7 56 40 .57 AC M/L PB 78-85; CABANA CLUB GDNS APTS SEC 1; LOT 3 BLK 1. Label 2 (SITUS JUN 2001): 30-6007-09-0030; 10980 SW 202 DR; LOT SIZE 24829 SQUARE FEET; LAND USE 03 = MULTI FAMILY. Handwritten NOTES: "N/C 95 4/4/95 m"; "R/5 Calc 02: 6-27-02 BCC"; "08 7/10/02"; "CODE-90 ALT. Roof 12/7/89 J.Steph?"; "Coded 12-26-89 A.Ryers?"; "10/20 1975 T&F# 5302  117,406"; "15% Econ obso"; "'94 R/S Phys adj 4/94 CM ck'd 5/3/94 GDC".
part03	2	0	other	(none)	-	-	-	Divider/label sheet, near-blank	divider	NA	Blank back of card; large handwritten marker "D7 / P3".
